uid,title,genre,popularity,ranked,score
36511,Tokyo Ghoul:re,"['Action', 'Psychological', 'Supernatural', 'Mystery', 'Drama', 'Horror', 'Seinen']",181,4048.0,6.94
5996,Tennis no Ouji-sama: Oshougatsu Special,"['Action', 'Comedy', 'Sports', 'Shounen']",5390,4047.0,6.94
38050,Shoujo☆Kageki Revue Starlight Specials,['Comedy'],6049,4046.0,6.94
19365,Samurai Flamenco,"['Action', 'Comedy', 'Parody', 'Super Power']",1059,4043.0,6.94
12591,Ojamajo Doremi OVA,"['Kids', 'Magic']",8868,4040.0,6.94
4051,Net Ghost Pipopa,"['Action', 'Adventure', 'Comedy', 'Kids', 'Sci-Fi', 'Shounen']",8809,4039.0,6.94
38778,Midara na Ao-chan wa Benkyou ga Dekinai,"['Comedy', 'Romance', 'Ecchi', 'Shounen']",1142,4036.0,6.94
580,Kogepan,['Comedy'],5621,4032.0,6.94
10191,Katte ni Kaizou,"['Comedy', 'Parody', 'School', 'Sci-Fi', 'Shounen']",2849,4030.0,6.94
641,Ichigo 100% Special 2,"['Comedy', 'Ecchi', 'Romance', 'Shounen']",3604,4028.0,6.94
2916,Genki Bakuhatsu Ganbaruger,"['Mecha', 'Shounen']",10216,4025.0,6.94
5534,Hai! Akko Desu,"['Romance', 'Slice of Life']",10914,4027.0,6.94
124,Fushigi Yuugi: Eikouden,"['Adventure', 'Fantasy', 'Romance', 'Drama', 'Shoujo']",3742,4024.0,6.94
18001,Freezing Vibration,"['Action', 'Military', 'Sci-Fi', 'Harem', 'Drama', 'Romance', 'Ecchi', 'Martial Arts', 'Seinen']",932,4023.0,6.94
870,Dragon Half,"['Comedy', 'Fantasy', 'Parody']",3612,4021.0,6.94
984,Dragon Ball Z: Saiya-jin Zetsumetsu Keikaku,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Shounen']",2430,4020.0,6.94
36760,Detective Conan: The Magician of Starlight,['Space'],8488,4019.0,6.94
21729,Cardfight!! Vanguard: Legion Mate-hen,"['Action', 'Adventure', 'Demons', 'Game', 'Shounen']",4390,4018.0,6.94
1248,Zone of the Enders: 2167 Idolo,"['Action', 'Space', 'Mecha', 'Romance', 'Military', 'Drama', 'Sci-Fi']",4938,4016.0,6.95
11837,Zetman,"['Action', 'Drama', 'Horror', 'Romance', 'Sci-Fi', 'Seinen', 'Supernatural']",1126,4015.0,6.95
37767,Xingfu Lushang,['Drama'],12412,4014.0,6.95
3691,Watashi to Watashi: Futari no Lotte,"['Slice of Life', 'Kids', 'Shoujo']",10052,4013.0,6.95
1111,Vandread: Gekitou-hen,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Mecha', 'Sci-Fi', 'Space']",5252,4012.0,6.95
15673,Tell Your World,['Music'],6243,4011.0,6.95
5203,Shin Maple Town Monogatari: Palm Town-hen,"['Slice of Life', 'Fantasy']",9430,4010.0,6.95
561,Sakura Taisen,"['Adventure', 'Mecha', 'Sci-Fi', 'Shounen']",3605,4009.0,6.95
1256,Saint Seiya: Jashin Eris,"['Adventure', 'Sci-Fi', 'Shounen']",3777,4008.0,6.95
1942,Rocket Girls,"['Adventure', 'Sci-Fi', 'Space']",5177,4006.0,6.95
9716,Rurouni Kenshin: Review Special,"['Action', 'Comedy', 'Samurai', 'Shounen']",5966,4007.0,6.95
34262,Oushitsu Kyoushi Heine,"['Slice of Life', 'Comedy', 'Historical', 'Shounen']",1354,1593.0,7.54
1212,Oban Star-Racers,"['Adventure', 'Mecha', 'Sci-Fi', 'Shounen']",2281,1592.0,7.54
7651,Ningen Shikkaku: Director's Cut-ban,"['Drama', 'Historical', 'Psychological', 'Seinen']",5244,1591.0,7.54
4188,Mahou Sensei Negima!: Shiroki Tsubasa Ala Alba,"['Adventure', 'Harem', 'Comedy', 'Supernatural', 'Magic', 'Romance', 'Ecchi', 'Vampire', 'Shounen']",2868,1590.0,7.54
27411,Koukaku Kidoutai: Shin Movie,"['Action', 'Sci-Fi', 'Police', 'Psychological', 'Mecha']",2321,1588.0,7.54
2971,Kyou kara Maou! R,"['Adventure', 'Comedy', 'Demons', 'Fantasy', 'Shoujo']",3292,1589.0,7.54
3449,Kamichu! Specials,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama']",4557,1587.0,7.54
379,Heppoko Jikken Animation Excel♥Saga,"['Comedy', 'Parody', 'Sci-Fi', 'Shounen']",1252,1586.0,7.54
1525,Pokemon Crystal: Raikou Ikazuchi no Densetsu,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",3288,4005.0,6.95
32071,Gantz:O,"['Action', 'Sci-Fi', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Ecchi', 'Seinen']",1829,1585.0,7.54
10108,Ore no Imouto ga Konnani Kawaii Wake ga Nai: SD Chara ni Yoru Character Commentary,['Comedy'],3281,4004.0,6.95
196,Onegai☆Twins,"['Comedy', 'Drama', 'Harem', 'School', 'Sci-Fi']",1468,4003.0,6.95
36561,Doupo Cangqiong Specials,"['Action', 'Adventure', 'Demons', 'Fantasy']",8834,1584.0,7.54
31553,Charlotte: Tsuyoimono-tachi,"['Super Power', 'Drama', 'School']",1256,1583.0,7.54
